Product Title,Product Price,Warranty Period (Months),Accesorises warranty,Warranted by,SKU,Manufacturer Number,processor type,NPU (Neural Processing Unit),AI (Artificial Intelligence),display type,graphics card,display size,operating system,product type,model/chipset number,model series,generation/release,color,operating system architecture,processor speed,capacity,RAM,connectivity technology,ports,touch display,display resolution,cam resolution,multimedia features,special features,fingerprint,battery type,width,height/length,depth,weight,card reader,Shipping Weight (kg),Renewed Grade,Renewed Remarks
Huawei MateBook 14 Laptop,"4,299",24,12 Months,Manufacturer,638525,53014ASK,Intel Core Ultra 5 125H,Intel AI Boost,Yes,OLED Display,Intel Arc Graphics,"14.2""",Windows 11 Home,Laptop,W5611T,Huawei MateBook,2024,Space Grey,64 bit,P-core: 1.2 - 4.5 GHz/E-core: 0.7 - 3.6 GHz,1 TB M.2 NVMe PCIe 4.0 SSD,16 GB RAM,Wi-Fi (6)/Bluetooth (5.1),HDMI 1.4/USB 3.2/USB-C/Audio Combo Port,Yes,2880 X 1920,FHD (2 MP) Webcam,Built-in Mic/Speakers,Full Size Keyboard,Yes,Lithium Polymer (Li-Po),312.60 mm ( 12.31 in ),226.80 mm ( 8.93 in ),15.90 mm ( .63 in ),1.31 kg ( 2.89 lb ),,,,
Apple MacBook Air 15 M3 Laptop,"5,999",24,12 Months,Manufacturer,646475,MC9D4ABA,M3 8-core CPU,16-core Neural Engine,Yes,Liquid Retina Display,10-core GPU,"15.3""",macOS Sequoia,Laptop,,Apple MacBook Air,2024,Space Grey,,,256 GB SSD,16 GB RAM,Wi-Fi/Bluetooth,Thunderbolt/USB-4/3.5 mm Headphone Jack,,2880 X 1864,1080p FaceTime HD Camera,Built-in Mic/Speakers,,Yes,Lithium Polymer (Li-Po),34.04 cm ( 13.40 in ),23.76 cm ( 9.35 in ),1.15 cm ( .45 in ),1.51 kg ( 3.33 lb ),,,,
Apple MacBook Air 15 M3 Laptop,"5,999",24,12 Months,Manufacturer,632673,MRYR3ABA,M3 8-core CPU,16-core Neural Engine,Yes,Liquid Retina Display,10-core GPU,"15.3""",macOS Sonoma,Laptop,,Apple MacBook Air,2024,Starlight,,,256 GB SSD,8 GB RAM,Wi-Fi/Bluetooth,Thunderbolt/USB-4/3.5 mm Headphone Jack,,2880 X 1864,1080p FaceTime HD Camera,Built-in Mic/Speakers,,Yes,Lithium Polymer (Li-Po),34.04 cm ( 13.40 in ),23.76 cm ( 9.35 in ),1.15 cm ( .45 in ),1.51 kg ( 3.33 lb ),,,,
Asus Laptop,"3,799",24,12 Months,Manufacturer,642879,UM3406OLEDR7W,AMD Ryzen 7-8840HS,AMD XDNA up to 16 TOPS,Yes,WUXGA-OLED 400N,AMD Radeon Graphics,"14""",Windows 11,Laptop,UX3402YA,Asus ZenBook,2023,Jade Black,64 bit,2.0 GHz,1 TB M.2 NVMe PCIe 4.0 SSD,16 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 3.2/USB-C/Audio Combo Port,,1920 X 1200 (WUXGA),1080P FHD Camera,Harman Kardon,Backlit Chiclet Keyboard,Yes,Lithium Ion (Li-Ion) - 4 Cell,32.24 cm ( 12.69 in ),22.01 cm ( 8.67 in ),1.49 cm ( .59 in ),1.20 kg ( 2.65 lb ),Yes,,,
Microsoft Surface Laptop 7 Laptop,"9,699",24,Not Applicable,JARIR,639206,ZHI00014,Snapdragon X Elite 12 Core,Qualcomm Hexagon NPU 45 TOPS,Yes,PixelSense Flow,Qualcomm Adreno GPU,"15""",Windows 11 Home,Laptop,ZHI-00014,Microsoft Surface Laptop 7,2024,Black,,3.4 GHz,1 TB SSD,32 GB RAM,Wi-Fi (7)/Bluetooth (5.4),USB-C/USB 3.1/Surface Connect/3.5 mm Connector,Yes,2496 x 1664,1080P FHD Camera,,CoPilot+,,Lithium Ion (Li-Ion) - 6 Cell,32.90 cm ( 12.95 in ),23.90 cm ( 9.41 in ),1.80 cm ( .71 in ),1.60 kg ( 3.53 lb ),,,,
Asus Zenbook 14 OLED Laptop,"4,799",24,12 Months,Manufacturer,630284,UX3405MOLED9W,Intel Core Ultra 9 185H,Intel AI Boost,Yes,3K OLED 120 Hz,Intel Arc Graphics,"14""",Windows 11 Home,Laptop,UX3405MA-OLED9W,Asus ZenBook,2024,Ponder Blue,64 bit,2.3 GHz,1 TB M.2 NVMe PCIe 4.0 SSD,16 GB RAM,Wi-Fi (6E)/Bluetooth (5.3),HDMI 2.1/USB 3.2/Thunderbolt 4/3.5mm Audio Combo Port,,2880 X 1800 (OLED),FHD IR Camera with Privacy Shutter,"Harman Kardon(Premium)/Smart Amp Technology, Built-in Speaker and Microphone","Backlit Chiclet Keyboard,0.2ms Response Time",,Lithium Ion (Li-Ion) - 4 Cell,31.24 cm ( 12.30 in ),22.01 cm ( 8.67 in ),1.49 cm ( .59 in ),.91 kg ( 2.01 lb ),,,,
Asus Zenbook 14 OLED Laptop,"3,599",24,12 Months,Manufacturer,620524,UX3402YOLED4W,AMD Ryzen 7-7730U,,,2.8K OLED SGS Eye Care Display,AMD Radeon Graphics,"14""",Windows 11,Laptop,UX3402YA,Asus ZenBook,2023,Jade Black,64 bit,2.0 GHz,1 TB M.2 NVMe PCIe 3.0 SSD,16 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 3.2/USB-C/Audio Combo Port,,2880 X 1800 (OLED),1080P FHD Camera,Harman Kardon,Backlit Chiclet Keyboard,Yes,Lithium Ion (Li-Ion) - 4 Cell,31.36 cm ( 12.35 in ),22.06 cm ( 8.69 in ),1.69 cm ( .67 in ),1.39 kg ( 3.06 lb ),Yes,,,
Apple MacBook Air 13 M1 Retina Laptop,"2,999",24,12 Months,Manufacturer,558437,MGN63ABA,M1 8-core CPU 16-core Neural Engine,16-core Neural Engine,Yes,Retina Display,7-core GPU,"13.3""",macOS Big Sur,Laptop,,Apple MacBook Air,2020,Space Grey,,,256 GB SSD,8 GB RAM,Wi-Fi/Bluetooth,USB-C (Thunderbolt 3),,2560 X 1600 (WQXGA),720p FaceTime HD Camera,Built-in Mic/Speakers,,,Lithium Ion Polymer (Li-Poly),30.41 cm ( 11.97 in ),21.24 cm ( 8.36 in ),1.61 cm ( .63 in ),1.29 kg ( 2.84 lb ),,2.43,,
HP Pavilion Laptop,"4,499",24,12 Months,Manufacturer,641160,B10Q2EAA2N,Intel Core Ultra 7 155U,Intel AI Boost,Yes,WUXGA IPS Anti-glare 300N Display,Intel Graphics,"16""",Windows 11 Home,Laptop,16-af0002nx,HP Pavilion,2024,Sky Blue,64 bit,1.7 GHz,1 TB PCIe Gen4,16 GB RAM,Wi-Fi/Bluetooth,,,1920 X 1200,1080P FHD Camera,,,,Lithium Ion (Li-Ion),,,,1.77 kg ( 3.90 lb ),,,,
MSI Modern 14 Laptop,"2,799",24,12 Months,Agent,645334,9S714S122214,Intel Core i7-1355U (13th Gen),,,FHD IPS 60 Hz Display,Intel Iris Xe Graphics,"14""",Windows 11,Laptop,F13MG,MSI Modern,2024,Urban Silver,64 bit,P-core: 1.7 - 5.0 GHz/E-core: 1.2 - 3.7 GHz,512 GB NVMe M.2 SSD,16 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 3.2/USB-C (DisplayPort)/RJ-45,,1920 X 1080 (FHD),HD Webcam,Built-in Speakers/Mic,,Yes,Lithium Ion (Li-Ion) - 3 Cell,32.39 cm ( 12.75 in ),21.72 cm ( 8.55 in ),1.99 cm ( .78 in ),1.50 kg ( 3.31 lb ),Yes,,,
HP Pavilion Plus 14-ew1009nx Laptop,"3,799",24,12 Months,Manufacturer,634893,9Y9T6EAA2N,Intel Core Ultra 5 125H,Intel AI Boost,Yes,2.8K OLED Display,Intel Arc Graphics,"14""",Windows 11 Home,Laptop,Intel Integrated SoC,HP Pavilion Plus,2024,Natural Silver,64 bit,4.5 GHz,512 GB PCIe Gen 4 NVMe M.2 SSD,16 GB RAM,Wi-Fi (6E)/Bluetooth (5.3),HDMI 2.1/USB 3.2/USB-C (DisplayPort 2.1)/Thunderbolt 4/Audio Combo Port,,2880 X 1800 (OLED),Wide Vision 5 MP IR Camera,"DTS:X Ultra, Dual Speakers, HP Audio Boost","Backlit Keyboard, IMAX Enhanced, Low Blue Light, Poly Studio, Micro-edge",,Lithium Ion Polymer (Li-Poly) - 4 Cell,31.40 cm ( 12.36 in ),22.70 cm ( 8.94 in ),1.89 cm ( .74 in ),1.44 kg ( 3.17 lb ),,,,
HP EliteBook 840 G10 Laptop,"4,019",60,24 Months,Agent,630739,819A8EAA2N,Intel Core i7-1355U (13th Gen),,,FHD-LCD IPS Display,Intel Iris Xe Graphics,"14""",Windows 11 Pro,Laptop,EliteBook G10,HP EliteBook Business,2023,Ash Silver,64 bit,1.2 GHz,512 GB PCIe NVMe M.2 SSD,16 GB RAM,Wi-Fi (6E)/Bluetooth (5.3),HDMI 2.1/USB/USB-C/Audio Combo Port,,1920 X 1080 (FHD),,Built-in Speaker,n/a y.,Yes,Lithium Polymer (Li-Po) - 3 Cell,315.50 mm ( 12.42 in ),220.40 mm ( 8.68 in ),19.20 cm ( 7.56 in ),1.36 kg ( 3.00 lb ),,,,
Huawei MateBook 14 Laptop,"3,649",24,12 Months,Manufacturer,621254,KLVW5651T,Intel Core i5-1240P (12th Gen),,,QHD-LED IPS Display,Intel Iris Xe Graphics,"14""",Windows 11,Laptop,,Huawei MateBook,2023,Space Grey,64 bit,1.7 GHz,512 GB,16 GB RAM,Wi-Fi/Bluetooth,USB 3.2/USB-C/Audio Combo Port,Yes,2160 x 1440,720p HD Camera,Immersive Surround Sound,,Yes,Lithium Ion Polymer (Li-Poly),223.80 mm ( 8.81 in ),307.50 mm ( 12.11 in ),68.00 mm ( 2.68 in ),1.49 kg ( 3.28 lb ),,,,
Apple MacBook Pro 14 M4 Pro Retina XDR Laptop,"11,399",24,12 Months,Manufacturer,646492,MX2F3ABA,M4 Pro 14-core CPU,16-core Neural Engine,Yes,Liquid Retina XDR Display,20-core GPU,"14.2""",macOS Sequoia,Laptop,,Apple MacBook Pro,2024,Silver,,,1 TB SSD,24 GB RAM,Wi-Fi/Bluetooth,HDMI/Thunderbolt 4/3.5 mm Headphone Jack,,3024 X 1964,12 MP Center Stage Camera,High Fidelity Six-speakers,"Retina XDR Display, Touch ID",,Lithium Polymer (Li-Po),31.26 cm ( 12.31 in ),22.10 cm ( 8.70 in ),1.55 cm ( .61 in ),1.55 kg ( 3.42 lb ),Yes,,,
Apple MacBook Air 13 M2 Retina Laptop,"4,499",24,12 Months,Manufacturer,646465,MC7X4ABA,M2 8-core CPU 16-core Neural Engine,16-core Neural Engine,Yes,Retina Display,8-core GPU,"13.6""",macOS Sequoia,Laptop,,Apple MacBook Air,2024,Midnight,,,256 GB SSD,16 GB RAM,Wi-Fi/Bluetooth,Thunderbolt 3/USB 4/3.5 mm Headphone Jack,,2560 X 1664,1080p FaceTime HD Camera,Built-in Mic/Speakers,,,Lithium Polymer (Li-Po),30.41 cm ( 11.97 in ),21.50 cm ( 8.46 in ),1.10 cm ( .43 in ),1.24 kg ( 2.73 lb ),,,,
Huawei MateBook 14 Laptop,"4,999",24,12 Months,Manufacturer,638524,53014ASL,Intel Core Ultra 7 155H,Intel AI Boost,Yes,OLED Display,Intel Arc Graphics,"14.2""",Windows 11 Home,Laptop,W7611T,Huawei MateBook,2024,Space Grey,64 bit,P-core: 1.4 - 4.8 GHz/E-core: 0.9 - 3.8 GHz,1 TB M.2 NVMe PCIe 4.0 SSD,16 GB RAM,Wi-Fi (6)/Bluetooth (5.1),HDMI 1.4/USB 3.2/USB-C/Audio Combo Port,Yes,2880 X 1920,FHD (2 MP) Webcam,Built-in Mic/Speakers,Full Size Keyboard,Yes,Lithium Polymer (Li-Po),312.60 mm ( 12.31 in ),226.80 mm ( 8.93 in ),15.90 mm ( .63 in ),1.31 kg ( 2.89 lb ),,,,
Apple MacBook Air 13 M1 Retina Laptop,"2,999",24,12 Months,Manufacturer,558438,MGN93ABA,M1 8-core CPU 16-core Neural Engine,16-core Neural Engine,Yes,Retina Display,7-core GPU,"13.3""",macOS Big Sur,Laptop,,Apple MacBook Air,2020,Silver,,,256 GB SSD,8 GB RAM,Wi-Fi/Bluetooth,USB-C (Thunderbolt 3),,2560 X 1600 (WQXGA),720p FaceTime HD Camera,Built-in Mic/Speakers,,,Lithium Ion Polymer (Li-Poly),30.41 cm ( 11.97 in ),21.24 cm ( 8.36 in ),1.61 cm ( .63 in ),1.29 kg ( 2.84 lb ),,2.43,,
Apple MacBook Air 13 M2 Retina Laptop,"5,699",24,12 Months,Manufacturer,589226,MLY23ABA,M2 8-core CPU 16-core Neural Engine,16-core Neural Engine,Yes,Retina Display,10-core GPU,"13.6""",macOS Monterey,Laptop,,Apple MacBook Air,2022,Starlight,,,512 GB SSD,8 GB RAM,Wi-Fi/Bluetooth,Thunderbolt 3/USB 4/3.5 mm Headphone Jack,,2560 X 1664,1080p FaceTime HD Camera,Built-in Mic/Speakers,,,Lithium Ion Polymer (Li-Poly),30.41 cm ( 11.97 in ),21.50 cm ( 8.46 in ),1.10 cm ( .43 in ),1.24 kg ( 2.73 lb ),,,,
Microsoft Surface Laptop 7 Laptop,"6,299",24,Not Applicable,JARIR,639202,ZGP00080,Snapdragon X Elite 12 Core,Qualcomm Hexagon NPU 45 TOPS,Yes,PixelSense Flow,Qualcomm Adreno GPU,"13.8""",Windows 11 Home,Laptop,ZGP-00080,Microsoft Surface Laptop 7,2024,Sapphire,,3.4 GHz,512 GB SSD,16 GB RAM,Wi-Fi (7)/Bluetooth (5.4),USB-C/USB 3.1/Surface Connect/3.5 mm Connector,Yes,2304 X 1536,1080P FHD Camera,,CoPilot+,,Lithium Ion (Li-Ion) - 6 Cell,11.85 in ( 30.10 cm ),8.67 in ( 22.02 cm ),.69 in ( 17.53 mm ),1.20 kg ( 2.65 lb ),,,,
MSI Prestige 13 AI Evo A1MG Laptop,"4,329",24,12 Months,Agent,630721,9S713Q222071,Intel Core Ultra 7 155H,,,2.8K OLED Display,Intel Iris Xe Graphics,"13.3""",Windows 11 Home,Laptop,AI Evo A1MG,MSI Prestige,2024,Stellar Grey,64 bit,1.4 GHz,1 TB M.2 NVMe PCIe 4.0 SSD,32 GB RAM,Wi-Fi (7)/Bluetooth,HDMI 2.1 (8K@60Hz/4K@120Hz)/USB 3.2/USB-C (Thunderbolt 4/DisplayPort),,2880 X 1800 (OLED),1080P FHD IR Camera,"2 X 2W Speakers, Spatial Array Microphone (3 Mic)",,,Lithium Polymer (Li-Po) - 4 Cell,29.90 cm ( 11.77 in ),21.00 cm ( 8.27 in ),1.69 cm ( .67 in ),.99 kg ( 2.18 lb ),Yes,,,
Apple MacBook Air 13 M2 Retina Laptop,"4,499",24,12 Months,Manufacturer,646464,MC7W4ABA,M2 8-core CPU 16-core Neural Engine,16-core Neural Engine,Yes,Retina Display,8-core GPU,"13.6""",macOS Sequoia,Laptop,,Apple MacBook Air,2024,Starlight,,,256 GB SSD,16 GB RAM,Wi-Fi/Bluetooth,Thunderbolt 3/USB 4/3.5 mm Headphone Jack,,2560 X 1664,1080p FaceTime HD Camera,Built-in Mic/Speakers,,,Lithium Polymer (Li-Po),30.41 cm ( 11.97 in ),21.50 cm ( 8.46 in ),1.10 cm ( .43 in ),1.24 kg ( 2.73 lb ),,,,
HP OmniBook X Laptop,"5,499",24,12 Months,Manufacturer,637641,A9MR6EAA2N,Snapdragon X Elite,Qualcomm Hexagon NPU 45 TOPS,Yes,2.2K IPS Anti-glare Backlit Touch Display,Qualcomm Adreno GPU,"14""",Windows 11 (with Windows 11 Copilot),Laptop,14-fe0002nx,HP OmniBook,2024,Meteor Silver,64 bit,3.4 GHz,1 TB M.2 NVMe PCIe 4.0 SSD,16 GB RAM,Wi-Fi (6E)/Bluetooth (5.3),USB/USB-C,Yes,2240 x 1400,5 MP Webcam IR Camera + TOF with E-camera Shutter,"Dual Speakers, HP Audio Boost, Poly Studio",,,Lithium Ion Polymer (Li-Poly) - 3 Cell,31.40 cm ( 12.36 in ),22.70 cm ( 8.94 in ),1.89 cm ( .74 in ),1.34 kg ( 2.95 lb ),,,,
Asus Vivobook S 15 OLED Laptop,"4,999",24,12 Months,Manufacturer,634612,S5507QAMA001W,Snapdragon X Elite,Qualcomm Hexagon NPU 45 TOPS,Yes,3K OLED 120 Hz,Qualcomm Adreno GPU,"15.6""",Windows 11 Home,Laptop,S5507QA-MA001W,Asus VivoBook S,2024,Cool Silver,,3.4 GHz,1 TB M.2 NVMe PCIe 4.0 SSD,32 GB RAM,Wi-Fi (7)/Bluetooth (5.4),HDMI 2.1/USB 3.2/USB-C 4.0/3.5 mm Combo Audio Jack,,2880 X 1620 (WQHD),FHD IR Camera with Privacy Shutter,"Built-in Speaker, Harman/Kardon","Backlit Chiclet Keyboard 1-Zone RGB with Num-key, Copilot Key",,Lithium Ion (Li-Ion) - 3 Cell,35.26 cm ( 13.88 in ),22.69 cm ( 8.93 in ),1.59 cm ( .63 in ),1.50 kg ( 3.31 lb ),Yes,,,
Apple MacBook Air 13 M2 Retina Laptop,"4,499",24,12 Months,Manufacturer,589224,MLY33ABA,M2 8-core CPU 16-core Neural Engine,16-core Neural Engine,Yes,Retina Display,8-core GPU,"13.6""",macOS Monterey,Laptop,,Apple MacBook Air,2022,Midnight,,,256 GB SSD,8 GB RAM,Wi-Fi/Bluetooth,Thunderbolt 3/USB 4/3.5 mm Headphone Jack,,2560 X 1664,1080p FaceTime HD Camera,Built-in Mic/Speakers,,,Lithium Ion Polymer (Li-Poly),30.41 cm ( 11.97 in ),21.50 cm ( 8.46 in ),1.10 cm ( .43 in ),1.24 kg ( 2.73 lb ),,,,
Lenovo Yoga Pro 9 Laptop,"9,029",24,12 Months,Manufacturer,639986,83DN008LAD,Intel Core Ultra 9 185H,Intel AI Boost,Yes,3.2K Mini LED 165 Hz,NVIDIA GeForce RTX 4060 (8 GB),"16""",Windows 11,Laptop,16IMH9,Lenovo Yoga,2024,Luna Grey,64 bit,P-core: 2.3 - 5.1 GHz/E-core: 1.8 - 3.8 GHz,1 TB SSD,32 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 3.2/Thunderbolt 4/Audio Combo Port,,3200 X 2000,5 MP + IR with E-shutter,6 Speakers with Smart Amp Technology,,,Lithium Polymer (Li-Po),36.20 cm ( 14.25 in ),25.30 cm ( 9.96 in ),1.79 cm ( .70 in ),2.10 kg ( 4.63 lb ),,,,
Apple MacBook Pro 16 M4 Max Retina XDR Laptop,"16,199",24,12 Months,Manufacturer,646500,MX303ABA,M4 Max 14-core CPU,16-core Neural Engine,Yes,Liquid Retina XDR Display,32-core GPU,"16""",macOS Sequoia,Laptop,,Apple MacBook Pro,2024,Space Black,,,1 TB SSD,36 GB RAM,Wi-Fi/Bluetooth,HDMI/Thunderbolt 5/3.5 mm Headphone Jack,,3456 X 2234,12 MP Center Stage Camera,High Fidelity Six-speakers,"Retina XDR Display, Touch ID",Yes,Lithium Polymer (Li-Po),35.57 cm ( 14.00 in ),24.81 cm ( 9.77 in ),1.68 cm ( .66 in ),2.14 kg ( 4.72 lb ),Yes,,,
HP Pavilion Plus Laptop,"3,999",24,12 Months,Manufacturer,618713,8F1L2EAA2N,Intel Core i7-1355U (13th Gen),,,2.8K OLED 400N Display,NVIDIA GeForce RTX 2050 (4 GB),"14""",Windows 11,Laptop,14-eh1001nx,HP Pavilion Plus,2022,Natural Silver,64 bit,P-core: 1.7 - 5.0 GHz/E-core: 1.2 - 3.7 GHz,1 TB PCIe NVMe M.2 SSD,16 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 2.0/USB 3.1,,2880 X 1800 (OLED),True Vision FHD Webcam,"Bang & Olufsen Dual Speakers, HP Audio Boost",,,Lithium Ion Polymer (Li-Poly) - 3 Cell,31.32 cm ( 12.33 in ),22.41 cm ( 8.82 in ),1.84 cm ( .72 in ),1.41 kg ( 3.11 lb ),Yes,,,
Apple MacBook Pro 16 M4 Max Retina XDR Laptop,"18,549",24,12 Months,Manufacturer,646501,MX2W3ABA,M4 Max 16-core CPU,16-core Neural Engine,Yes,Liquid Retina XDR Display,40-core GPU,"16""",macOS Sequoia,Laptop,,Apple MacBook Pro,2024,Silver,,,1 TB SSD,48 GB RAM,Wi-Fi/Bluetooth,HDMI/Thunderbolt 5/3.5 mm Headphone Jack,,3456 X 2234,12 MP Center Stage Camera,High Fidelity Six-speakers,"Retina XDR Display, Touch ID",Yes,Lithium Polymer (Li-Po),35.57 cm ( 14.00 in ),24.81 cm ( 9.77 in ),1.68 cm ( .66 in ),2.14 kg ( 4.72 lb ),Yes,,,
Apple MacBook Air 13 M3 Laptop,"7,099",24,12 Months,Manufacturer,632659,MXCR3ABA,M3 8-core CPU,16-core Neural Engine,Yes,Liquid Retina Display,10-core GPU,"13.6""",macOS Sonoma,Laptop,,Apple MacBook Air,2024,Space Grey,,,512 GB SSD,16 GB RAM,Wi-Fi/Bluetooth,Thunderbolt/USB-4/3.5 mm Headphone Jack,,2560 X 1664,1080p FaceTime HD Camera,Built-in Mic/Speakers,,,Lithium Polymer (Li-Po),30.41 cm ( 11.97 in ),21.50 cm ( 8.46 in ),1.13 cm ( .44 in ),1.24 kg ( 2.73 lb ),,,,
Renewed Grade A Apple MacBook Air 13 M1 Retina Laptop,"3,899",6,Not Applicable,JARIR,645318,MGN73ABARA,M1 8-core CPU 16-core Neural Engine,,,Retina Display,8-core GPU,"13.3""",macOS Big Sur,Laptop,,Apple MacBook Air,2020,Space Grey,,,512 GB,8 GB RAM,Wi-Fi/Bluetooth,USB-C (Thunderbolt 3),,2560 X 1600 (WQXGA),720p FaceTime HD Camera,Built-in Mic/Speakers,,,Lithium Ion Polymer (Li-Poly),30.41 cm ( 11.97 in ),21.24 cm ( 8.36 in ),1.61 cm ( .63 in ),1.29 kg ( 2.84 lb ),,,Renewed Grade A,558440
Apple MacBook Pro 14 M4 Retina XDR Laptop,"9,399",24,12 Months,Manufacturer,646483,MCX04ABA,M4 10-core CPU,16-core Neural Engine,Yes,Liquid Retina XDR Display,10-core GPU,"14.2""",macOS Sequoia,Laptop,,Apple MacBook Pro,2023,Space Black,,,1 TB SSD,24 GB RAM,Wi-Fi/Bluetooth,HDMI/Thunderbolt 4/3.5 mm Headphone Jack,,3024 X 1964,12 MP Center Stage Camera,High Fidelity Six-speakers,"Retina XDR Display, Touch ID",,Lithium Polymer (Li-Po),31.26 cm ( 12.31 in ),22.10 cm ( 8.70 in ),1.55 cm ( .61 in ),1.55 kg ( 3.42 lb ),Yes,,,
Acer Aspire 5 Laptop,"1,999",24,12 Months,Manufacturer,597842,NXK5FEM002,Intel Core i5-1235U (12th Gen),,,FHD-LED IPS Display,NVIDIA GeForce MX550 (2 GB),"14""",Windows 11,Laptop,A514-55G,Acer Aspire,2022,Steel Grey,64 bit,P-core: 1.3 - 4.4 GHz/E-core: 0.9 - 3.3 GHz,512 GB PCIe NVMe M.2 SSD,8 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 2.0/USB 3.2/USB-C/RJ-45,,1920 X 1080 (FHD),FHD Webcam,Built-in Speakers/Mic,Backlit Keyboard,Yes,Lithium Ion (Li-Ion) - 4 Cell,32.81 cm ( 12.92 in ),22.12 cm ( 8.71 in ),1.79 cm ( .70 in ),1.49 kg ( 3.28 lb ),,,,
Microsoft Surface Laptop Go 3 Laptop,"2,999",24,Not Applicable,JARIR,627896,XK100032,Intel Core i5-1235U (12th Gen),,,PixelSense Display,Intel Iris Xe Graphics,"12.4""",Windows 11 Home,Laptop,,Microsoft Surface Laptop Go,2023,Platinum,,,256 GB SSD,8 GB RAM,Wi-Fi/Bluetooth,USB-C/USB-A/Surface Connect Port/3.5 m,Yes,1536 X 1024,720p HD Camera,Omnisonic Speakers with Dolby Audio Premium,,Yes,Lithium Ion (Li-Ion),10.95 cm ( 4.31 in ),8.12 cm ( 3.20 in ),.62 cm ( .24 in ),1.12 kg ( 2.47 lb ),,,,
Apple MacBook Air 13 M3 Laptop,"7,099",24,12 Months,Manufacturer,646471,MC8N4ABA,M3 8-core CPU,16-core Neural Engine,Yes,Liquid Retina Display,10-core GPU,"13.6""",macOS Sequoia,Laptop,,Apple MacBook Air,2024,Silver,,,512 GB SSD,24 GB RAM,Wi-Fi/Bluetooth,Thunderbolt/USB-4/3.5 mm Headphone Jack,,2560 X 1664,1080p FaceTime HD Camera,Built-in Mic/Speakers,,Yes,Lithium Polymer (Li-Po),30.41 cm ( 11.97 in ),21.50 cm ( 8.46 in ),1.13 cm ( .44 in ),1.24 kg ( 2.73 lb ),,,,
Apple MacBook Pro 13 M2 Retina + Touch Bar Laptop,"5,249",24,12 Months,Manufacturer,589228,MNEH3ABA,M2 8-core CPU 16-core Neural Engine,16-core Neural Engine,Yes,Retina Display,10-core GPU,"13.3""",macOS Monterey,Laptop,,Apple MacBook Pro,2022,Space Grey,,,256 GB SSD,8 GB RAM,Wi-Fi/Bluetooth,Thunderbolt/USB-4/3.5 mm Headphone Jack,,2560 X 1600 (WQXGA),720p FaceTime HD Camera,Built-in Mic/Speakers,,,Lithium Polymer (Li-Po),30.41 cm ( 11.97 in ),21.20 cm ( 8.35 in ),1.56 cm ( .61 in ),1.38 kg ( 3.04 lb ),,,,
Renewed Grade A Apple MacBook Pro 16 M3 Pro Retina XDR Laptop,"9,899",6,Not Applicable,JARIR,641380,MRW13ABARA,M3 Pro 12-core CPU,,,Liquid Retina XDR Display,18-core GPU,"16""",macOS Sonoma,Laptop,,Apple MacBook Pro,2023,Space Black,,,512 GB SSD,18 GB RAM,Wi-Fi/Bluetooth,HDMI/Thunderbolt 4/3.5 mm Headphone Jack,,3024 X 1964,1080p FaceTime HD Camera,High Fidelity Six-speakers,,Yes,Lithium Polymer (Li-Po),,,,2.14 kg ( 4.72 lb ),Yes,,Renewed Grade A,626815
HP Pavilion Plus Laptop,"2,899",24,12 Months,Manufacturer,618692,8F1L5EAA2N,Intel Core i5-1340P (Evo 13th Gen),,,2.2K IPS Anti-glare Backlit Display,Intel Iris Xe Graphics,"14""",Windows 11,Laptop,14-eh1004nx,HP Pavilion Plus,2023,Natural Silver,64 bit,P-core: 1.9 - 4.6 GHz/E-core: 1.4 - 3.4 GHz,512 GB PCIe NVMe M.2 SSD,16 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 2.0/USB 3.1/USB-C (Thynderbolt 4)/Audio Combo Port,,2240 x 1400,True Vision HD Webcam,"Bang & Olufsen Dual Speakers, HP Audio Boost",,,Lithium Ion Polymer (Li-Poly) - 3 Cell,31.30 cm ( 12.32 in ),22.40 cm ( 8.82 in ),1.60 cm ( .63 in ),1.40 kg ( 3.09 lb ),Yes,,,
Acer Swift SF14-11-X41L Laptop,"5,029",24,12 Months,Manufacturer,635184,NXKZXEM001,Snapdragon X Plus 10 Core,,,QHD 120 Hz Display,Qualcomm Adreno GPU,"14.5""",Windows 11,Laptop,SF14-11,Acer Swift,2024,Silver,64 bit,3.4 GHz,1 TB SSD,16 GB RAM,Wi-Fi (6E)/Bluetooth (5.0),HDMI/USB 3.2/USB-C,,2560 X 1600,QHD Webcam,Built-in Mic/Speakers,,,Lithium Ion (Li-Ion),312.00 mm ( 12.28 in ),217.00 mm ( 8.54 in ),14.90 mm ( .59 in ),1.20 kg ( 2.65 lb ),Yes,,,
